split_type,heldout,model,n_train,n_test,n_features,test_R2,test_corr_pred_target,mean_prediction,features
leave_condition,GoL_L128_rho0.35,fate_core,15000,1000,4,0.017485202326280702,0.3163975339304121,-10.566935337038675,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.35,fate_all,15000,1000,8,0.377943302929414,0.6179483966313761,-3.160773313870547,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.35,class_counts,15000,1000,15,0.0028773585170590588,0.1741154337128393,-5.808628700997206,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.35,class_losses,15000,1000,15,0.006813119009961843,0.3425030349976307,-7.454717800855216,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.35,class_counts_plus_losses,15000,1000,30,0.364531197839011,0.613111419702471,-4.983906972956462,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.20,iso_count,15000,1000,1,-0.006125161174604932,0.5959461847639104,2.0089928624111626,iso_count
leave_condition,GoL_L64_rho0.20,local_window_loss,15000,1000,1,-0.022613815462302345,0.7313822947191765,3.7553151584664164,iso_local_window_loss_sum
leave_condition,GoL_L64_rho0.20,local_window_delta_loss_gain,15000,1000,3,0.09382398780587609,0.5554645944937672,0.26444984624455725,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.20,fate_core,15000,1000,4,0.0074346330815286965,0.1627306129681758,2.4676817243340574,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L64_rho0.20,fate_all,15000,1000,8,0.39084901127626037,0.6260230254314735,0.5189965608579494,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.20,class_counts,15000,1000,15,-0.019815343800583696,0.08931380388740096,2.9633602669921366,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L64_rho0.20,class_losses,15000,1000,15,-0.055371523733603656,0.2647473098247512,5.007690429943917,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.20,class_counts_plus_losses,15000,1000,30,0.38457955672735544,0.6209145289822,-0.07791930463832432,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.25,iso_count,15000,1000,1,-0.0017262365281196512,0.6235964155181286,1.8378731172929743,iso_count
