sample_id,condition_id,rule,L,rho,live_count,density,block_var,block_entropy,components_t0,components_t1,fine_net_1,iso_count,iso_die,iso_survive,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum
6200,GoL_L128_rho0.30,GoL,128,0.3,4962,0.3028564453125,0.0037884563207626343,1.467589506385936,2095,1231,-864,907,527,380,56,324,743,507,-1972,2028,56
6201,GoL_L128_rho0.30,GoL,128,0.3,5009,0.30572509765625,0.0029324255883693695,1.2983129728935727,2153,1215,-938,955,511,444,64,380,793,564,-2040,2106,66
6202,GoL_L128_rho0.30,GoL,128,0.3,5050,0.3082275390625,0.003481730818748474,1.45217179845837,2045,1255,-790,852,462,390,70,320,699,493,-1702,1753,51
6203,GoL_L128_rho0.30,GoL,128,0.3,4907,0.29949951171875,0.00330522283911705,1.3777100464007828,2058,1247,-811,899,516,383,70,313,727,516,-1767,1826,59
6204,GoL_L128_rho0.30,GoL,128,0.3,4871,0.29730224609375,0.003245171159505844,1.360722863764737,2090,1193,-897,874,475,399,56,343,724,498,-1814,1859,45
6205,GoL_L128_rho0.30,GoL,128,0.3,4899,0.29901123046875,0.0032350681722164154,1.3643736087464933,2108,1204,-904,915,507,408,59,349,753,518,-1944,1997,53
6206,GoL_L128_rho0.30,GoL,128,0.3,4983,0.30413818359375,0.003263171762228012,1.2860811706197044,2105,1186,-919,911,477,434,58,376,768,551,-1994,2039,45
6207,GoL_L128_rho0.30,GoL,128,0.3,4822,0.2943115234375,0.0034590810537338257,1.367835918261289,2042,1226,-816,857,482,375,58,317,697,469,-1738,1781,43
6208,GoL_L128_rho0.30,GoL,128,0.3,4864,0.296875,0.00337982177734375,1.4209358943742432,2076,1169,-907,903,492,411,63,348,727,470,-1885,1942,57
6209,GoL_L128_rho0.30,GoL,128,0.3,4898,0.2989501953125,0.003036007285118103,1.2843840667146402,2130,1201,-929,886,472,414,66,348,712,494,-1879,1923,44
6210,GoL_L128_rho0.30,GoL,128,0.3,4984,0.30419921875,0.0033338069915771484,1.3372547277986024,2067,1212,-855,865,463,402,65,337,708,495,-1771,1841,70
6211,GoL_L128_rho0.30,GoL,128,0.3,4963,0.30291748046875,0.0029151104390621185,1.2153524349473037,2113,1172,-941,895,496,399,57,342,730,523,-1995,2044,49
6212,GoL_L128_rho0.30,GoL,128,0.3,4896,0.298828125,0.0030498504638671875,1.2611660553764692,2116,1186,-930,889,468,421,64,357,726,476,-1937,2008,71
6213,GoL_L128_rho0.30,GoL,128,0.3,5029,0.30694580078125,0.003018047660589218,1.3298397592521831,2071,1223,-848,884,446,438,62,376,732,509,-1850,1904,54
6214,GoL_L128_rho0.30,GoL,128,0.3,4876,0.297607421875,0.003243863582611084,1.3446209811002443,2141,1187,-954,924,516,408,55,353,765,525,-2005,2069,64
6215,GoL_L128_rho0.30,GoL,128,0.3,4909,0.29962158203125,0.003670778125524521,1.3938942922150421,2102,1210,-892,906,507,399,54,345,780,523,-1891,1955,64
6216,GoL_L128_rho0.30,GoL,128,0.3,4920,0.30029296875,0.0031621456146240234,1.4226114034656452,2174,1180,-994,961,522,439,62,377,800,571,-2178,2223,45
6217,GoL_L128_rho0.30,GoL,128,0.3,4838,0.2952880859375,0.0031331628561019897,1.3743636066466165,2162,1159,-1003,962,528,434,55,379,796,536,-2085,2147,62
6218,GoL_L128_rho0.30,GoL,128,0.3,4854,0.2962646484375,0.0033584684133529663,1.4065810861434727,2074,1224,-850,863,477,386,53,333,721,507,-1820,1868,48
6219,GoL_L128_rho0.30,GoL,128,0.3,4977,0.30377197265625,0.003001328557729721,1.3077090281453019,2130,1205,-925,893,504,389,51,338,751,533,-1886,1929,43
6220,GoL_L128_rho0.30,GoL,128,0.3,4882,0.2979736328125,0.002873167395591736,1.307192987465345,2194,1217,-977,1027,567,460,68,392,845,576,-2286,2343,57
6221,GoL_L128_rho0.30,GoL,128,0.3,4949,0.30206298828125,0.0033519528806209564,1.3677333024266292,2093,1172,-921,893,499,394,48,346,740,516,-1968,2013,45
6222,GoL_L128_rho0.30,GoL,128,0.3,4889,0.29840087890625,0.0034013353288173676,1.3826898225835684,2127,1212,-915,961,544,417,65,352,766,540,-2079,2126,47
6223,GoL_L128_rho0.30,GoL,128,0.3,5003,0.30535888671875,0.0032401345670223236,1.433378462374056,2140,1257,-883,913,503,410,65,345,743,523,-1851,1909,58
6224,GoL_L128_rho0.30,GoL,128,0.3,4989,0.30450439453125,0.003311123698949814,1.3599861349831683,2084,1223,-861,874,504,370,53,317,708,510,-1829,1875,46
